Date,Score
2013-11-29,0.935724378
2013-12-02,0.117011055
2013-12-03,-0.869046986
2013-12-04,0.184588611
2013-12-05,0.302915424
2013-12-06,#N/A
2013-12-09,0.041517302
2013-12-10,-0.783661962
2013-12-11,#N/A
2013-12-12,#N/A
2013-12-13,-0.96125412
2013-12-16,0.790753484
2013-12-17,-0.000905188
2013-12-18,-0.216074169
2013-12-19,#N/A
2013-12-20,#N/A
2013-12-23,0.192401901
2013-12-24,0.019141998
2013-12-26,#N/A
2013-12-27,0.164679497
2013-12-30,-0.285857767
2013-12-31,#N/A
2014-01-02,0.065190747
2014-01-03,#N/A
2014-01-06,-0.798231483
2014-01-07,0.33321619
2014-01-08,#N/A
2014-01-09,0.246106058
2014-01-10,#N/A
2014-01-13,0.675968885
2014-01-14,-0.009480413
2014-01-15,0.564905703
2014-01-16,#N/A
2014-01-17,-0.947675705
2014-01-21,#N/A
2014-01-22,0.368975312
2014-01-23,0.110141419
2014-01-24,0.048405778
2014-01-27,-0.937108517
2014-01-28,0.460016817
2014-01-29,#N/A
2014-01-30,0.266134679
2014-01-31,#N/A
2014-02-03,0.005830921
2014-02-04,#N/A
2014-02-05,#N/A
2014-02-06,0.010607785
2014-02-07,0.420631468
2014-02-10,-0.194392458
2014-02-11,-0.062182434
2014-02-12,0.195517048
2014-02-13,-0.059689295
2014-02-14,#N/A
2014-02-18,-0.934875607
2014-02-19,#N/A
2014-02-20,-0.920231402
2014-02-21,0.07915359
2014-02-24,0.452323794
2014-02-25,#N/A
2014-02-26,0.044070948
2014-02-27,#N/A
2014-02-28,0.106628142
2014-03-03,-0.004680661
2014-03-04,-0.133253202
2014-03-05,-0.95561415
2014-03-06,-0.847549319
2014-03-07,-0.956213892
2014-03-10,#N/A
2014-03-11,-0.007919878
2014-03-12,#N/A
2014-03-13,0.038302641
2014-03-14,#N/A
2014-03-17,0.357840151
2014-03-18,-0.047322415
2014-03-19,#N/A
2014-03-20,0.621745825
2014-03-21,0.058274671
2014-03-24,0.013093531
2014-03-25,#N/A
2014-03-26,#N/A
2014-03-27,#N/A
2014-03-28,0.263394326
2014-03-31,-0.028188042
2014-04-01,0.463965178
2014-04-02,#N/A
2014-04-03,#N/A
2014-04-04,#N/A
2014-04-07,0.027387157
2014-04-08,0.000659678
2014-04-09,-0.076638117
2014-04-10,0.399957061
2014-04-11,#N/A
2014-04-14,0.613356292
2014-04-15,#N/A
2014-04-16,#N/A
2014-04-17,#N/A
2014-04-21,-0.053599149
2014-04-22,0.008443061
2014-04-23,0.210252866
2014-04-24,0.040101577
2014-04-25,0.023271903
2014-04-28,0.633837104
2014-04-29,-0.002913009
2014-04-30,#N/A
2014-05-01,#N/A
2014-05-02,0.129465997
2014-05-05,#N/A
2014-05-06,#N/A
2014-05-07,#N/A
2014-05-08,0.170082062
2014-05-09,0.010285588
2014-05-12,0.264895886
2014-05-13,#N/A
2014-05-14,0.425002515
2014-05-15,#N/A
2014-05-16,0.089656256
2014-05-19,0.235444546
2014-05-20,#N/A
2014-05-21,0.842237651
2014-05-22,0.076822072
2014-05-23,-0.730190873
2014-05-27,0.03184098
2014-05-28,0.035669539
2014-05-29,-0.003509477
2014-05-30,0.803633034
2014-06-02,-0.017365793
2014-06-03,-0.833455205
2014-06-04,#N/A
2014-06-05,#N/A
2014-06-06,-0.032686464
2014-06-09,0.660640478
2014-06-10,0.293214679
2014-06-11,#N/A
2014-06-12,#N/A
2014-06-13,#N/A
2014-06-16,#N/A
2014-06-17,-0.291134
2014-06-18,0.002436936
2014-06-19,0.042048533
2014-06-20,0.068663418
2014-06-23,0.019419607
2014-06-24,#N/A
2014-06-25,-0.146601826
2014-06-26,-0.023459304
2014-06-27,#N/A
2014-06-30,0.845493436
2014-07-01,-0.003778338
2014-07-02,#N/A
2014-07-03,#N/A
2014-07-07,0.064017475
2014-07-08,-0.169252843
2014-07-09,-0.073391154
2014-07-10,-0.148694515
2014-07-11,-0.003535617
2014-07-14,-0.927491307
2014-07-15,0.074124277
2014-07-16,0.2530213
2014-07-17,-0.438904762
2014-07-18,#N/A
2014-07-21,#N/A
2014-07-22,0.009351484
2014-07-23,0.197681874
2014-07-24,#N/A
2014-07-25,-0.215364903
2014-07-28,0.080398053
2014-07-29,-0.818059146
2014-07-30,#N/A
2014-07-31,0.019350968
2014-08-01,0.042641606
2014-08-04,0.717967093
2014-08-05,-0.576734364
2014-08-06,-0.069820747
2014-08-07,#N/A
2014-08-08,-0.847533584
2014-08-11,#N/A
2014-08-12,0.461331427
2014-08-13,#N/A
2014-08-14,#N/A
2014-08-15,0.028857665
2014-08-18,0.679432631
2014-08-19,0.036182553
2014-08-20,#N/A
2014-08-21,0.019387089
2014-08-22,-0.963115752
2014-08-25,#N/A
2014-08-26,0.029910261
2014-08-27,0.152516484
2014-08-28,0.066894166
2014-08-29,-0.07243257
2014-09-02,0.30813688
2014-09-03,-0.649077296
2014-09-04,0.108001612
2014-09-05,-0.098562442
2014-09-08,0.852651834
2014-09-09,0.023149315
